date,transaction_id,vendor,category,type,amount,balance
2022-01-01,CC00001,Utility Company,Supplies,Debit,229,229
2022-01-08,CC00002,Facebook Ads,Other,Debit,444,673
2022-01-10,CC00003,Payment to CC,Payment,Credit,428,245
2022-01-15,CC00004,Utility Company,Marketing,Debit,360,605
2022-01-22,CC00005,Local Print Shop,Marketing,Debit,539,1144
2022-01-24,CC00006,Payment to CC,Payment,Credit,486,658
2022-01-29,CC00007,Coffee Supplier,Utilities,Debit,494,1152
2022-02-05,CC00008,Coffee Supplier,Marketing,Debit,179,1331
2022-02-12,CC00009,Facebook Ads,Marketing,Debit,449,1780
2022-02-19,CC00010,Utility Company,Other,Debit,363,2143
2022-02-26,CC00011,Coffee Supplier,Other,Debit,163,2306
2022-03-05,CC00012,Facebook Ads,Utilities,Debit,206,2512
2022-03-12,CC00013,Facebook Ads,Marketing,Debit,264,2776
2022-03-19,CC00014,Local Print Shop,Utilities,Debit,411,3187
2022-03-26,CC00015,Utility Company,Marketing,Debit,207,3394
2022-03-28,CC00016,Payment to CC,Payment,Credit,533,2861
2022-04-02,CC00017,Facebook Ads,Utilities,Debit,229,3090
2022-04-04,CC00018,Payment to CC,Payment,Credit,481,2609
2022-04-09,CC00019,Facebook Ads,Utilities,Debit,384,2993
2022-04-11,CC00020,Payment to CC,Payment,Credit,684,2309
2022-04-16,CC00021,Utility Company,Marketing,Debit,344,2653
2022-04-18,CC00022,Payment to CC,Payment,Credit,405,2248
2022-04-23,CC00023,Coffee Supplier,Other,Debit,111,2359
2022-04-30,CC00024,Utility Company,Utilities,Debit,315,2674
2022-05-02,CC00025,Payment to CC,Payment,Credit,416,2258
2022-05-07,CC00026,Facebook Ads,Marketing,Debit,405,2663
2022-05-14,CC00027,Utility Company,Utilities,Debit,283,2946
2022-05-21,CC00028,Coffee Supplier,Other,Debit,527,3473
2022-05-23,CC00029,Payment to CC,Payment,Credit,507,2966
2022-05-28,CC00030,Coffee Supplier,Supplies,Debit,435,3401
2022-06-04,CC00031,Coffee Supplier,Marketing,Debit,107,3508
