date,transaction_id,description,category,type,amount,balance
1/1/2024,TX00001,Daily Sales Deposit,Sales Revenue,Credit,$802.00,"$15,802.00"
2/1/2024,TX00002,Daily Sales Deposit,Sales Revenue,Credit,$970.00,"$16,772.00"
3/1/2024,TX00003,Daily Sales Deposit,Sales Revenue,Credit,$888.00,"$17,660.00"
4/1/2024,TX00004,Daily Sales Deposit,Sales Revenue,Credit,$821.00,"$18,481.00"
4/1/2024,TX00005,Utility Bill Payment,Operating Expense,Debit,$430.00,"$18,051.00"
5/1/2024,TX00006,Daily Sales Deposit,Sales Revenue,Credit,$787.00,"$18,838.00"
6/1/2024,TX00007,Daily Sales Deposit,Sales Revenue,Credit,"$1,059.00","$19,897.00"
7/1/2024,TX00008,Daily Sales Deposit,Sales Revenue,Credit,$849.00,"$20,746.00"
7/1/2024,TX00009,Rent Payment,Operating Expense,Debit,$443.00,"$20,303.00"
8/1/2024,TX00010,Daily Sales Deposit,Sales Revenue,Credit,"$1,113.00","$21,416.00"
9/1/2024,TX00011,Daily Sales Deposit,Sales Revenue,Credit,$891.00,"$22,307.00"
10/1/2024,TX00012,Daily Sales Deposit,Sales Revenue,Credit,$860.00,"$23,167.00"
11/1/2024,TX00013,Daily Sales Deposit,Sales Revenue,Credit,$721.00,"$23,888.00"
11/1/2024,TX00014,Bakery Payment,COGS,Debit,$444.00,"$23,444.00"
12/1/2024,TX00015,Daily Sales Deposit,Sales Revenue,Credit,"$1,174.00","$24,618.00"
13/1/2024,TX00016,Daily Sales Deposit,Sales Revenue,Credit,$869.00,"$25,487.00"
13/1/2024,TX00017,Utility Bill Payment,Operating Expense,Debit,$287.00,"$25,200.00"
14/1/2024,TX00018,Daily Sales Deposit,Sales Revenue,Credit,"$1,063.00","$26,263.00"
15/1/2024,TX00019,Daily Sales Deposit,Sales Revenue,Credit,"$1,019.00","$27,282.00"
16/1/2024,TX00020,Daily Sales Deposit,Sales Revenue,Credit,"$1,184.00","$28,466.00"
17/1/2024,TX00021,Daily Sales Deposit,Sales Revenue,Credit,$720.00,"$29,186.00"
18/1/2024,TX00022,Daily Sales Deposit,Sales Revenue,Credit,$973.00,"$30,159.00"
19/1/2024,TX00023,Daily Sales Deposit,Sales Revenue,Credit,"$1,015.00","$31,174.00"
20/1/2024,TX00024,Daily Sales Deposit,Sales Revenue,Credit,$964.00,"$32,138.00"
20/1/2024,TX00025,Rent Payment,Operating Expense,Debit,$485.00,"$31,653.00"
